iter	Passed	Remaining
0	147	147392
1	152	75947
2	156	52023
3	160	40025
4	164	32822
5	168	27959
6	173	24598
7	177	22036
8	181	20000
9	185	18409
10	190	17155
11	195	16062
12	199	15116
13	203	14313
14	207	13607
15	211	12988
16	215	12440
17	219	11995
18	224	11606
19	228	11196
20	233	10876
21	237	10548
22	241	10259
23	246	10021
24	250	9777
25	254	9552
26	259	9341
27	263	9153
28	268	8977
29	272	8817
30	277	8678
31	281	8525
32	286	8381
33	291	8277
34	295	8142
35	299	8018
36	304	7919
37	308	7813
38	313	7719
39	316	7587
40	319	7481
41	322	7352
42	324	7224
43	326	7099
44	328	6977
45	330	6846
46	332	6731
47	334	6637
48	336	6535
49	338	6433
50	339	6326
51	341	6226
52	343	6139
53	346	6062
54	348	5980
55	349	5892
56	351	5808
57	352	5727
58	354	5648
59	355	5572
60	357	5507
61	359	5440
62	361	5382
63	363	5318
64	365	5251
65	366	5186
66	367	5124
67	368	5053
68	370	4995
69	371	4937
70	373	4886
71	375	4836
72	377	4790
73	378	4738
74	380	4687
75	381	4638
76	382	4589
77	384	4543
78	385	4499
79	387	4454
80	389	4422
81	391	4384
82	393	4343
83	394	4302
84	395	4257
85	396	4217
86	397	4173
87	399	4138
88	400	4102
89	402	4066
90	404	4037
91	406	4008
92	407	3975
93	409	3944
94	410	3911
95	412	3880
96	413	3848
97	414	3817
98	416	3787
99	417	3759
100	419	3735
101	420	3705
102	422	3678
103	423	3651
104	425	3624
105	426	3599
106	428	3574
107	429	3550
108	431	3526
109	432	3503
110	435	3484
111	436	3463
112	438	3440
113	439	3418
114	441	3395
115	442	3371
116	443	3350
117	445	3329
118	446	3305
119	448	3288
120	450	3270
121	452	3255
122	453	3230
123	454	3212
124	456	3192
125	457	3173
126	458	3155
127	459	3132
128	461	3114
129	463	3098
130	465	3086
131	466	3069
132	468	3055
133	470	3040
134	472	3024
135	473	3010
136	475	2995
137	477	2981
138	479	2969
139	481	2958
140	483	2944
141	485	2930
142	486	2916
143	488	2902
144	490	2890
145	492	2878
146	494	2871
147	496	2859
148	498	2846
149	500	2833
150	501	2820
151	503	2806
152	504	2794
153	506	2783
154	508	2773
155	511	2765
156	512	2753
157	514	2741
158	516	2729
159	517	2718
160	519	2707
161	521	2700
162	524	2693
163	526	2681
164	527	2669
165	529	2657
166	530	2646
167	531	2634
168	533	2623
169	535	2614
170	537	2606
171	540	2602
172	542	2591
173	543	2580
174	545	2569
175	546	2558
176	548	2549
177	550	2541
178	552	2534
179	555	2529
180	556	2517
181	558	2508
182	559	2498
183	561	2489
184	563	2482
185	565	2474
186	567	2468
187	569	2460
188	571	2450
189	572	2441
190	574	2432
191	576	2424
192	578	2418
193	580	2411
194	582	2404
195	584	2397
196	586	2389
197	587	2380
198	590	2375
199	592	2369
200	594	2362
201	595	2353
202	597	2344
203	598	2336
204	600	2328
205	601	2320
206	603	2311
207	604	2303
208	606	2294
209	608	2288
210	609	2280
211	611	2272
212	612	2263
213	614	2256
214	615	2248
215	617	2242
216	619	2234
217	620	2226
218	622	2220
219	623	2212
220	625	2204
221	626	2196
222	628	2188
223	629	2181
224	630	2173
225	632	2166
226	634	2158
227	635	2151
228	636	2143
229	638	2137
230	640	2131
231	641	2124
232	643	2118
233	644	2110
234	646	2103
235	647	2096
236	648	2088
237	650	2081
238	651	2074
239	652	2067
240	654	2060
241	655	2053
242	656	2046
243	658	2039
244	659	2032
245	661	2026
246	662	2019
247	663	2012
248	664	2005
249	666	1999
250	667	1992
251	669	1987
252	670	1980
253	672	1974
254	673	1967
255	674	1961
256	676	1954
257	677	1948
258	678	1941
259	680	1935
260	681	1930
261	683	1924
262	684	1918
263	685	1912
264	687	1905
265	688	1899
266	689	1893
267	691	1887
268	692	1881
269	693	1875
270	694	1869
271	696	1864
272	697	1858
273	699	1852
274	700	1847
275	702	1842
276	703	1836
277	705	1832
278	706	1826
279	708	1820
280	709	1815
281	710	1809
282	712	1804
283	713	1798
284	714	1793
285	716	1787
286	717	1782
287	718	1777
288	720	1771
289	721	1766
290	722	1761
291	724	1755
292	725	1750
293	726	1745
294	728	1740
295	729	1735
296	731	1730
297	732	1725
298	733	1720
299	734	1714
300	736	1709
301	737	1704
302	738	1699
303	740	1695
304	741	1690
305	743	1685
306	744	1680
307	745	1675
308	747	1671
309	748	1666
310	749	1661
311	751	1656
312	752	1651
313	753	1646
314	755	1642
315	756	1638
316	758	1633
317	759	1629
318	761	1625
319	762	1620
320	763	1615
321	765	1611
322	766	1606
323	767	1601
324	768	1597
325	770	1593
326	772	1588
327	773	1584
328	775	1580
329	776	1576
330	778	1572
331	779	1568
332	780	1563
333	782	1559
334	783	1555
335	785	1551
336	786	1547
337	788	1543
338	789	1539
339	790	1535
340	792	1531
341	793	1527
342	795	1523
343	797	1520
344	810	1538
345	813	1537
346	816	1536
347	819	1535
348	822	1533
349	829	1540
350	832	1539
351	835	1538
352	838	1536
353	841	1535
354	844	1533
355	847	1532
356	850	1531
357	853	1530
358	856	1528
359	858	1526
360	860	1523
361	863	1521
362	865	1518
363	867	1514
364	868	1511
365	870	1507
366	871	1503
367	873	1499
368	875	1496
369	877	1494
370	881	1494
371	883	1491
372	885	1488
373	887	1485
374	889	1482
375	891	1479
376	893	1476
377	894	1472
378	896	1468
379	897	1464
380	898	1460
381	900	1456
382	901	1452
383	903	1448
384	904	1444
385	905	1440
386	907	1436
387	908	1432
388	909	1428
389	911	1425
390	912	1421
391	913	1417
392	915	1413
393	916	1409
394	917	1405
395	919	1401
396	920	1398
397	921	1394
398	923	1390
399	924	1386
400	925	1382
401	927	1379
402	928	1375
403	929	1371
404	931	1368
405	932	1364
406	933	1360
407	935	1356
408	936	1353
409	937	1349
410	939	1345
411	940	1342
412	941	1338
413	943	1334
414	944	1331
415	946	1328
416	947	1324
417	948	1321
418	950	1317
419	951	1313
420	952	1310
421	954	1306
422	955	1303
423	956	1299
424	958	1296
425	959	1292
426	960	1289
427	962	1286
428	963	1282
429	965	1279
430	966	1276
431	967	1272
432	969	1269
433	970	1265
434	971	1262
435	973	1258
436	974	1255
437	976	1252
438	977	1249
439	978	1245
440	980	1242
441	981	1239
442	982	1235
443	984	1232
444	985	1229
445	986	1225
446	988	1222
447	989	1219
448	991	1216
449	992	1213
450	993	1209
451	995	1206
452	996	1203
453	997	1200
454	999	1196
455	1000	1193
456	1001	1190
457	1003	1187
458	1004	1184
459	1006	1181
460	1007	1178
461	1008	1174
462	1010	1171
463	1011	1168
464	1012	1165
465	1014	1162
466	1015	1159
467	1017	1156
468	1018	1153
469	1020	1150
470	1021	1147
471	1022	1144
472	1024	1140
473	1025	1137
474	1026	1134
475	1028	1131
476	1029	1129
477	1031	1126
478	1032	1123
479	1033	1120
