iter	Passed	Remaining
0	213	213717
1	215	107366
2	216	71887
3	217	54159
4	218	43518
5	219	36428
6	221	31403
7	224	27809
8	225	24877
9	227	22522
10	228	20564
11	229	18929
12	231	17538
13	232	16347
14	233	15318
15	235	14487
16	238	13794
17	240	13120
18	242	12529
19	244	11969
20	245	11435
21	246	10954
22	248	10544
23	250	10205
24	252	9839
25	254	9526
26	255	9218
27	256	8921
28	258	8643
29	259	8384
30	260	8143
31	261	7914
32	263	7714
33	266	7559
34	267	7382
35	269	7220
36	270	7051
37	272	6887
38	273	6733
39	274	6588
40	275	6449
41	277	6332
42	280	6244
43	282	6128
44	284	6037
45	285	5928
46	286	5818
47	288	5713
48	289	5611
49	290	5526
50	293	5457
51	294	5371
52	296	5303
53	298	5220
54	299	5140
55	300	5066
56	301	4992
57	303	4921
58	304	4853
59	306	4795
60	308	4741
61	309	4688
62	311	4626
63	312	4566
64	313	4511
65	314	4454
66	316	4401
67	317	4347
68	318	4295
69	320	4251
70	322	4217
71	323	4172
72	325	4134
73	326	4089
74	328	4046
75	329	4004
76	330	3962
77	331	3920
78	332	3881
79	334	3851
80	336	3818
81	338	3790
82	339	3748
83	340	3716
84	342	3682
85	343	3648
86	344	3613
87	345	3580
88	346	3548
89	348	3521
90	350	3502
91	352	3474
92	353	3452
93	355	3422
94	356	3395
95	357	3367
96	358	3340
97	360	3313
98	361	3287
99	362	3263
100	364	3247
101	366	3229
102	368	3211
103	370	3187
104	371	3164
105	372	3141
106	373	3118
107	374	3095
108	376	3073
109	378	3058
110	379	3040
111	381	3022
112	382	3001
113	383	2981
114	384	2961
115	386	2942
116	387	2921
117	388	2901
118	389	2882
119	390	2863
120	392	2847
121	393	2833
122	395	2818
123	397	2805
124	398	2788
125	399	2772
126	400	2754
127	401	2737
128	402	2720
129	404	2704
130	405	2687
131	406	2674
132	408	2665
133	410	2652
134	412	2642
135	413	2627
136	414	2612
137	415	2597
138	416	2582
139	417	2567
140	419	2553
141	419	2537
142	421	2526
143	423	2518
144	425	2507
145	426	2494
146	427	2482
147	428	2468
148	430	2456
149	431	2444
150	432	2431
151	433	2419
152	434	2407
153	437	2402
154	439	2396
155	441	2390
156	443	2380
157	444	2370
158	446	2359
159	447	2348
160	448	2335
161	449	2324
162	451	2318
163	453	2314
164	455	2303
165	457	2297
166	458	2285
167	459	2275
168	460	2265
169	461	2255
170	463	2245
171	464	2236
172	466	2227
173	467	2220
174	469	2212
175	470	2203
176	471	2193
177	472	2184
178	474	2175
179	475	2166
180	476	2157
181	478	2149
182	479	2140
183	480	2132
184	483	2128
185	484	2121
186	486	2114
187	487	2106
188	489	2098
189	490	2090
190	491	2082
191	492	2074
192	494	2066
193	495	2060
194	498	2057
195	499	2049
196	501	2044
197	502	2036
198	504	2028
199	505	2021
200	506	2013
201	507	2006
202	508	1998
203	510	1992
204	512	1986
205	513	1980
206	514	1972
207	516	1965
208	517	1958
209	519	1952
210	520	1946
211	521	1939
212	523	1932
213	524	1926
214	525	1920
215	528	1917
216	530	1913
217	531	1906
218	532	1900
219	534	1894
220	535	1888
221	536	1881
222	538	1874
223	539	1869
224	542	1866
225	543	1861
226	545	1857
227	546	1851
228	548	1845
229	549	1839
230	550	1833
231	551	1827
232	553	1821
233	554	1816
234	556	1811
235	558	1806
236	559	1800
237	560	1794
238	561	1788
239	562	1782
240	564	1776
241	565	1770
242	566	1765
243	567	1759
244	569	1755
245	571	1753
246	573	1748
247	574	1743
248	576	1738
249	577	1732
250	578	1727
251	579	1721
252	581	1715
253	582	1710
254	583	1705
255	586	1704
256	587	1699
257	590	1697
258	591	1692
259	592	1687
260	594	1682
261	595	1677
262	596	1672
263	598	1668
264	599	1664
265	601	1659
266	602	1655
267	604	1650
268	605	1645
269	606	1640
270	607	1635
271	609	1630
272	610	1626
273	611	1621
274	613	1617
275	616	1616
276	617	1611
277	619	1609
278	621	1605
279	622	1600
280	624	1596
281	625	1592
282	626	1588
283	628	1585
284	632	1585
285	634	1583
286	636	1580
287	638	1577
288	639	1573
289	640	1568
290	642	1565
291	645	1565
292	647	1561
293	648	1558
294	650	1554
295	651	1549
296	652	1545
297	654	1541
298	655	1537
299	657	1535
300	660	1534
301	663	1532
302	665	1529
303	667	1527
304	669	1524
305	670	1521
306	673	1519
307	676	1519
308	678	1517
309	681	1516
310	682	1511
311	683	1507
312	685	1503
313	688	1503
314	689	1500
315	691	1497
316	693	1493
317	694	1490
318	696	1486
319	697	1482
320	699	1479
321	701	1476
322	704	1477
323	708	1477
324	710	1475
325	712	1473
326	714	1470
327	716	1468
328	720	1468
329	722	1466
330	724	1464
331	726	1461
332	727	1457
333	729	1454
334	731	1452
335	735	1452
336	737	1450
337	739	1448
338	741	1444
339	743	1442
340	744	1438
341	746	1436
342	748	1433
343	750	1431
344	751	1427
345	753	1423
346	754	1419
347	755	1416
348	757	1412
349	758	1408
350	760	1405
351	763	1405
352	765	1402
353	767	1399
354	768	1396
355	769	1392
356	770	1388
357	772	1384
358	773	1381
359	775	1378
360	777	1375
361	778	1372
